"2020-08-26 05:54","Serú Girán","Peperina","220280"
"2020-08-26 06:00","Luis Alberto Spinetta","Cancion para los Días de la Vida","347960"
"2020-08-26 06:01","Charly García","Rezo por Vos","51810"
"2020-08-26 06:04","Charly García","Rezo por Vos","217260"
"2020-08-26 06:06","Fito Paez","Tumbas de la gloria","69280"
"2020-08-26 06:10","冴島大河(小山力也)","ばかみたい","9680"
"2020-08-26 06:10","Fito Paez","Tumbas De La Gloria","277400"
"2020-08-26 06:15","Kazuma Kiryu(Takaya Kuroda)","Bakamitai - Taxi Driver Edition","291266"
"2020-08-26 06:16","Alicia Keys","Empire State of Mind (Part II) Broken Down","21190"
"2020-08-26 06:16","Taiga Saejima(Rikiya Koyama)","Bakamitai - Full Spec Edition","6643"
"2020-08-26 06:21","JAY-Z","Empire State Of Mind","276920"
"2020-08-26 06:25","Alicia Keys","Empire State of Mind (Part II) Broken Down","216480"
"2020-08-26 06:28","Alicia Keys","Fallin'","210200"
"2020-08-26 06:32","Alicia Keys","If I Ain't Got You","228706"
"2020-08-26 06:36","Alicia Keys","No One","253813"
"2020-08-26 06:40","Alicia Keys","Underdog","208207"
"2020-08-26 06:43","Alicia Keys","Show Me Love","75872"
"2020-08-26 18:10","Gustavo Cerati","Cactus","234760"
"2020-08-26 18:15","Andrés Calamaro","Crímenes perfectos","264840"
"2020-08-26 18:19","Sui Generis","Confesiones de Invierno","245333"
"2020-08-26 18:24","Cultura Profética","No Woman No Cry - Live","276723"
"2020-08-26 18:57","Gustavo Cerati","Cactus","234760"
"2020-08-26 19:01","Los Tres","Amor violento","280272"
"2020-08-26 19:02","Fito Paez","Y dale alegría a mi corazón","5267"
"2020-08-27 03:57","Gustavo Cerati","Cactus","234760"
"2020-08-27 04:01","Mancha De Rolando","Chino","202360"
"2020-08-27 04:05","Anderson .Paak","Celebrate","226186"
"2020-08-27 04:09","Andrés Calamaro","Donde manda marinero","244866"
"2020-08-27 04:13","Manu Chao","Me Gustas Tu","239986"
"2020-08-27 04:17","Gustavo Cerati","Adiós","233746"
"2020-08-27 04:21","Sui Generis","Confesiones de Invierno","245249"
